FECHA,VENTANILLA,ETOTAL,EPASADA,EREGULACION,EGNCAMISEA,EGNMALACAS,EGNAGUAYTIA,EDIESEL,ERESIDUAL,EBAGAZO,EBIOGAS,ESOLAR,EEOLICO,DNORTE,DCENTRO,DEMSUR,PRESIONV,TEMPV,DISPGNV
43525.58333,201.44669,6845.17009,1029.11924,3005.69877,2181.63775,0,81.75955,102.75486,24.6,6.21,9.1,156.4571,247.83282,955.85056,4375.77592,1513.54361,4150.012,27.425,2250
43525.60417,199.41492,6882.74006,1035.43574,3005.77902,2226.88081,0,81.77473,100.03352,24.4,5.59,9.1,152.83548,240.91076,948.96138,4421.084,1512.69468,4150.012,27.425,2250
43525.625,200.82707,6883.08663,1044.61712,3037.52429,2156.80114,0,81.83912,103.14846,24.8,6.125,9,171.91425,247.31725,957.0718,4440.71677,1485.29806,4154.723,27.95,2250
43525.64583,202.22383,6780.7722,1033.35458,2956.80669,2165.86825,0,81.81878,99.74527,25.2,6.02,9,145.96925,256.98938,937.99472,4354.15906,1488.61842,4154.723,27.95,2250
43525.66667,199.43182,6783.14428,1048.64679,3028.10076,2109.56649,0,81.74328,102.37464,24.6,5.27,9,118.94562,254.8967,947.55353,4334.20695,1501.3838,4170.034,28.75,2250
43525.6875,201.43475,6704.25872,1046.10722,3011.59581,2045.41301,0,81.66202,102.54817,24.9,6.035,9,125.84017,251.15732,915.36881,4266.43522,1522.45469,4170.034,28.75,2250
43525.70833,201.07454,6617.31246,1052.27518,3034.09167,2009.76508,0,81.64163,102.35434,25,5.975,9.2,49.00126,248.0083,891.91244,4213.17679,1512.22323,4175.922,29.175,2250
43525.72917,195.98667,6405.80247,1044.94398,2980.64364,1922.6904,0,60.59914,102.13843,24.8,5.885,9.2,5.80115,249.10073,835.1311,4030.37994,1540.29143,4175.922,29.175,2250
43525.75,178.50681,6601.0949,1057.91875,3007.82628,2111.64669,0,61.15,86.7155,24.6,5.855,9.2,0,236.18268,855.66815,4191.03394,1554.39281,4160.965,29.075,2250
43525.77083,202.91995,6714.76074,1056.5068,3104.76031,2117.13801,0,79.76,86.81784,24.9,5.8,9.2,0,229.87778,958.27399,4233.86473,1522.62202,4160.965,29.075,2250
43525.79167,202.50822,6800.67805,1048.81898,3100.28412,2221.83386,0,82.1,91.73499,24.8,5.81,9.3,0,215.9961,984.37608,4245.91565,1570.38632,4146.597,28,2250
43525.8125,202.04975,6781.17869,1053.02366,3115.69233,2232.76769,0,82.16,96.39177,24.8,5.65,9.3,0,161.39324,954.34876,4237.48319,1589.34674,4146.597,28,2250
43525.83333,203.67108,6738.25468,1063.0064,3104.82669,2217.90748,0,82.27,102.102,24,4.95648,9.3,0,129.88563,976.26054,4197.61168,1564.38246,4089.947,27.475,2250
43525.85417,203.11768,6725.12402,1062.62193,3087.31101,2242.4501,0,82.33,101.50749,24.2,5.81858,9.3,0,109.58491,967.71105,4187.27335,1570.13962,4089.947,27.475,2250
43525.875,202.30761,6660.14779,1067.46421,3098.77232,2146.23727,0,82.4,101.24896,24.1,5.70442,9.3,0,124.92061,939.57336,4148.0332,1572.54123,4052.848,27.075,2250
43525.89583,203.34156,6559.46291,1066.49366,3098.4698,2047.80217,0,82.54,101.20828,24.1,5.752,9.4,0,123.697,907.18015,4130.94473,1521.33803,4052.848,27.075,2250
43525.91667,203.52213,6436.19876,1066.16375,3090.85518,1950.3518,0,82.61,101.68423,24,5.49199,9.4,0,105.64181,908.05226,4057.70432,1470.44218,4051.788,26.525,2250
43525.9375,172.20542,6197.89894,1057.06168,3054.93615,1780.49053,0,60.4,101.70443,24,6.00017,9.4,0,103.90598,859.46335,3882.14706,1456.28853,4051.788,26.525,2250
43525.95833,172.1041,5995.11434,1068.76337,2985.44991,1676.28577,0,60.45,86.06188,24.1,5.63897,9.4,0,78.96444,820.57585,3742.00598,1432.53251,4200.891,25.9,2250
43525.97917,171.41638,5792.62587,1061.68357,2955.16815,1610.00249,0,61.04,1.2,24.1,6.11311,9.4,0,63.91855,762.34708,3638.69308,1391.58571,4200.891,25.9,2250
43526,173.05435,5651.08617,1048.38331,2833.99366,1612.68805,0,60.87155,1.2,24.1,6.065,9.4,0,54.3846,770.05958,3476.25264,1404.77395,4245.409,23.5,950
43526.02083,172.17368,5651.89013,1053.49579,2792.86154,1640.06657,0,61.34023,0,21.3,6.005,9.4,0,67.421,776.44922,3461.3422,1414.09871,4245.409,23.5,950
43526.04167,171.49174,5551.27473,1048.56615,2686.26652,1668.86372,0,61.56401,0,20.5,5.665,8.75,0,51.09933,769.34175,3384.78374,1397.14924,4251.887,23.225,950
43526.0625,172.6983,5430.01732,1053.10711,2637.98066,1597.72996,0,61.17724,0,20.8,5.735,8.35,0,45.13735,761.89205,3293.91217,1374.2131,4251.887,23.225,950
43526.08333,171.68894,5304.52282,1035.01817,2562.02222,1571.99936,0,61.05302,1.2,22.2,6.26013,8.35,0,36.41992,730.09189,3197.78496,1376.64597,4339.865,23.525,950
43526.10417,173.20127,5374.88328,1003.62312,2567.11608,1651.71913,0,61.18945,1.2,22.3,5.38411,8.35,0,54.00139,768.53729,3235.86986,1370.47613,4339.865,23.525,950
43526.125,172.81094,5341.02374,1002.66488,2579.82253,1617.43563,0,61.02,1.2,22.9,5.95059,8.35,0,41.68011,761.64581,3213.25851,1366.11942,4369.897,22.75,950
43526.14583,171.78579,5241.77731,990.56291,2521.20403,1571.77502,0,60.79,1.2,22.8,5.85757,8.35,0,59.23778,727.8016,3138.72216,1375.25355,4369.897,22.75,950
43526.16667,170.91811,5381.83651,994.70202,2559.59766,1659.97676,0,61.2,1.2,22.5,5.68505,8.35,0,68.62502,766.11811,3214.06846,1401.64994,4358.709,22.95,950
43526.1875,171.24951,5352.46706,1024.40355,2549.74273,1600.79641,0,60.94,1.2,22.7,5.94703,8.35,0,78.38734,738.47258,3221.9045,1392.08998,4358.709,22.95,950
43526.20833,172.28369,5431.51657,1022.60879,2532.06694,1703.91629,0,61.14,1.2,22.7,5.96,8.35,0,73.57455,747.87992,3280.48165,1403.155,4355.293,23.05,950
43526.22917,173.39733,5386.78435,1022.06505,2555.35292,1628.09824,0,60.88,1.2,22.7,6,8.35,5.62041,76.51773,782.57557,3231.03014,1373.17864,4355.293,23.05,950
43526.25,172.81625,5341.18662,1036.37667,2535.02252,1534.20382,0,59.95,1.2,22.7,6.005,8.35,42.15418,95.22443,772.4099,3210.04728,1358.72944,4330.679,23.15,950
43526.27083,173.473,5239.23468,1038.21994,2391.20772,1544.90886,0,60.7,1.2,23.1,6.115,8.35,81.55199,83.88117,720.70617,3173.49999,1345.02852,4330.679,23.15,950
43526.29167,172.91707,5442.49893,1007.17313,2445.13109,1698.73495,0,61.16,1.2,22.8,5.88,8.35,117.70732,74.36244,769.57097,3311.60715,1361.32081,4282.037,22.95,950
43526.3125,172.51101,5715.41058,1011.60414,2585.14619,1739.36995,0,61.05,0,22.5,5.925,8.35,201.23912,80.22618,811.97454,3545.99128,1357.44476,4282.037,22.95,950
43526.33333,173.8353,5897.15047,1012.27502,2823.14052,1620.67525,0,60.38,102.08696,22.6,5.775,8.35,170.39021,71.47751,839.61958,3673.54685,1383.98404,4253.889,23.387,950
43526.35417,173.74159,6071.30232,1015.49364,2931.24064,1626.17384,0,60.95,101.22748,22.5,5.89,8.35,223.01249,76.46423,861.51471,3821.72474,1388.06287,4253.889,23.387,950
43526.375,173.11679,6257.66317,1025.43231,2998.74985,1712.08505,0,61.11,101.25469,22.3,5.245,8.05,228.86707,94.5692,852.39183,3994.15781,1411.11353,4263.076,24.825,950
